City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
74,Saint-Denis,FR,48.9167,2.3333,35.76,93,100,8.05,fog,2023-01-19 02:16:22
75,Zhezkazgan,KZ,47.8043,67.7144,3.18,85,0,13.42,clear sky,2023-01-19 02:16:22
76,Cape Town,ZA,-33.9258,18.4232,66.09,85,75,6.91,broken clouds,2023-01-19 02:16:23
77,Fort Nelson,CA,58.8053,-122.7002,6.39,92,75,5.75,broken clouds,2023-01-19 02:16:23
78,Ust-Koksa,RU,50.2696,85.6108,1.35,97,100,0.34,overcast clouds,2023-01-19 02:16:24
79,Ejea De Los Caballeros,ES,42.1263,-1.1372,37.62,86,100,19.71,overcast clouds,2023-01-19 02:16:24
80,Airai,TL,-8.9266,125.4092,70.52,72,100,3.53,overcast clouds,2023-01-19 02:16:25
81,Willowmore,ZA,-33.2926,23.4895,73.58,66,100,1.21,overcast clouds,2023-01-19 02:16:25
82,Axim,GH,4.8699,-2.2405,78.4,87,97,6.82,overcast clouds,2023-01-19 02:16:25
83,Butaritari,KI,3.0707,172.7902,80.44,80,83,15.7,light rain,2023-01-19 02:16:26
84,Souillac,MU,-20.5167,57.5167,77.38,94,75,11.5,light intensity shower rain,2023-01-19 02:16:26
85,Rafaela,AR,-31.2503,-61.4867,78.98,50,7,8.48,clear sky,2023-01-19 02:16:26
86,Mar Del Plata,AR,-38.0023,-57.5575,74.08,91,75,17.0,broken clouds,2023-01-19 02:16:12
87,Vardo,NO,70.3705,31.1107,33.78,80,100,23.02,overcast clouds,2023-01-19 02:12:23
88,Cayenne,GF,4.9333,-52.3333,73.44,100,75,2.3,broken clouds,2023-01-19 02:16:27
89,Severo-Kurilsk,RU,50.6789,156.125,16.11,62,100,28.39,light snow,2023-01-19 02:16:27
90,Bombarral,PT,39.2672,-9.158,48.15,68,43,6.24,scattered clouds,2023-01-19 02:15:08
91,Cidreira,BR,-30.1811,-50.2056,74.19,90,100,14.45,overcast clouds,2023-01-19 02:16:28
92,Sistranda,NO,63.7256,8.834,31.96,87,100,19.91,light snow,2023-01-19 02:16:28
93,Maceio,BR,-9.6658,-35.7353,76.44,94,75,3.44,broken clouds,2023-01-19 02:16:29
94,Riacho De Santana,BR,-13.6092,-42.9389,68.52,80,26,4.61,scattered clouds,2023-01-19 02:16:29
95,Longyearbyen,SJ,78.2186,15.6401,13.84,67,0,8.05,clear sky,2023-01-19 02:16:29
96,Douentza,ML,14.9951,-2.9517,65.53,18,0,0.83,clear sky,2023-01-19 02:16:30
97,Asau,RO,46.4333,26.4,42.28,83,40,3.69,scattered clouds,2023-01-19 02:16:30
98,Semporna,MY,4.4818,118.6112,82.87,73,100,4.74,overcast clouds,2023-01-19 02:16:30
99,Foso,GH,5.7012,-1.2866,74.37,92,100,3.83,overcast clouds,2023-01-19 02:16:31
100,Igbo Ora,NG,7.4333,3.2833,75.15,80,1,1.54,clear sky,2023-01-19 02:16:31
101,Grindavik,IS,63.8424,-22.4338,23.47,74,0,9.22,clear sky,2023-01-19 02:16:31
102,Urumqi,CN,43.801,87.6005,-12.05,84,75,2.24,fog,2023-01-19 02:16:32
103,Zhukovka,RU,53.534,33.728,41.27,97,100,13.6,overcast clouds,2023-01-19 02:16:32
104,Khatanga,RU,71.9667,102.5,-33.21,99,16,6.04,few clouds,2023-01-19 02:16:32
105,Tynda,RU,55.1667,124.7167,-39.37,86,52,3.15,broken clouds,2023-01-19 02:16:33
106,Flin Flon,CA,54.7682,-101.865,5.32,99,86,4.74,overcast clouds,2023-01-19 02:16:33
107,Ukiah,US,39.1502,-123.2078,49.03,91,100,16.11,moderate rain,2023-01-19 02:16:33
108,Sur,OM,22.5667,59.5289,70.5,74,81,13.18,broken clouds,2023-01-19 02:16:34
109,Little Current,CA,45.9793,-81.9248,30.42,89,44,4.0,scattered clouds,2023-01-19 02:15:19
110,Paamiut,GL,61.994,-49.6678,26.82,92,100,7.94,light snow,2023-01-19 02:16:34
111,Olafsvik,IS,64.8945,-23.7142,27.19,75,98,16.15,overcast clouds,2023-01-19 02:16:34
112,Friendly,US,38.7518,-76.9786,47.39,73,0,9.22,clear sky,2023-01-19 02:13:54
113,Yellowknife,CA,62.456,-114.3525,11.91,97,100,8.37,overcast clouds,2023-01-19 02:13:10
114,Ponta Do Sol,PT,32.6667,-17.1,61.43,69,54,8.66,broken clouds,2023-01-19 02:16:35
115,Pueblo,US,38.2545,-104.6091,34.56,74,75,8.05,broken clouds,2023-01-19 02:16:35
116,Mwingi,KE,-0.9344,38.0601,62.17,62,100,0.6,overcast clouds,2023-01-19 02:16:36
117,Tiznit,MA,29.5833,-9.5,50.88,76,0,3.78,clear sky,2023-01-19 02:16:36
118,Madikeri,IN,12.4167,75.7333,52.99,68,15,4.25,few clouds,2023-01-19 02:16:36
119,Castelldefels,ES,41.2779,1.9703,44.2,64,0,4.61,clear sky,2023-01-19 02:16:37
120,Faanui,PF,-16.4833,-151.75,80.85,72,13,13.27,light rain,2023-01-19 02:16:37
121,Hobart,AU,-42.8794,147.3294,64.26,50,75,10.36,broken clouds,2023-01-19 02:16:37
122,Minab,IR,27.1467,57.0801,57.54,60,17,18.07,few clouds,2023-01-19 02:16:38
123,Camana,PE,-16.6228,-72.7111,71.06,83,72,5.12,broken clouds,2023-01-19 02:16:38
124,Saldanha,ZA,-33.0117,17.9442,64.67,95,89,6.51,overcast clouds,2023-01-19 02:16:38
125,Chokurdakh,RU,70.6333,147.9167,-35.91,100,30,5.88,scattered clouds,2023-01-19 02:16:38
126,Port Macquarie,AU,-31.4333,152.9167,83.89,69,98,10.18,overcast clouds,2023-01-19 02:16:19
127,Tabuk,PH,17.4189,121.4443,71.2,89,100,3.65,overcast clouds,2023-01-19 02:16:39
128,Kahului,US,20.8947,-156.47,84.22,50,40,9.22,scattered clouds,2023-01-19 02:16:39
129,Shimoda,JP,34.6667,138.95,46.76,71,100,11.9,overcast clouds,2023-01-19 02:16:40
130,Dunedin,NZ,-45.8742,170.5036,68.88,73,36,8.61,scattered clouds,2023-01-19 02:15:48
131,San Joaquin,US,37.9333,-121.3011,53.85,71,40,11.5,scattered clouds,2023-01-19 02:16:40
132,Mount Gambier,AU,-37.8333,140.7667,64.31,41,14,13.04,few clouds,2023-01-19 02:16:40
133,Cabo San Lucas,MX,22.8909,-109.9124,68.31,72,20,3.44,few clouds,2023-01-19 02:13:01
134,Linxia,CN,35.6003,103.2064,13.75,68,2,0.63,clear sky,2023-01-19 02:16:41
135,Lebu,CL,-37.6167,-73.65,56.1,87,63,7.16,broken clouds,2023-01-19 02:16:41
136,Geraldton,AU,-28.7667,114.6,100.81,28,0,17.27,clear sky,2023-01-19 02:16:42
137,Acajutla,SV,13.5928,-89.8275,75.18,81,3,4.05,clear sky,2023-01-19 02:16:42
138,San Jose,US,37.3394,-121.895,55.54,68,100,4.61,overcast clouds,2023-01-19 02:12:03
139,Arraial Do Cabo,BR,-22.9661,-42.0278,74.39,90,100,14.7,overcast clouds,2023-01-19 02:16:42
140,Hirara,JP,24.8,125.2833,66.47,68,40,11.5,scattered clouds,2023-01-19 02:16:43
141,Tevriz,RU,57.509,72.4042,5.31,98,75,4.63,broken clouds,2023-01-19 02:16:43
142,Malanje,AO,-9.5402,16.341,61.68,95,100,0.29,overcast clouds,2023-01-19 02:16:44
143,Sobolevo,RU,54.4299,31.8996,40.35,95,96,17.45,overcast clouds,2023-01-19 02:16:44
144,Nikolskoye,RU,59.7035,30.7861,33.78,98,100,10.47,snow,2023-01-19 02:16:45
145,Kodiak,US,57.79,-152.4072,27.91,93,100,8.05,light snow,2023-01-19 02:16:45
146,Meulaboh,ID,4.1363,96.1285,76.93,71,99,3.09,overcast clouds,2023-01-19 02:13:06
147,Phek,IN,25.6667,94.5,38.28,77,14,1.45,few clouds,2023-01-19 02:16:46
148,Gustavo Diaz Ordaz,MX,26.2333,-98.5833,78.69,66,52,10.83,broken clouds,2023-01-19 02:16:46
149,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,3.44,light snow,2023-01-19 02:16:46
150,Pevek,RU,69.7008,170.3133,-23.12,97,100,10.0,overcast clouds,2023-01-19 02:16:47
151,Saint-Pierre,RE,-21.3393,55.4781,82.56,88,100,6.91,light rain,2023-01-19 02:16:47
152,Muzhi,RU,65.3667,64.6667,2.32,94,18,4.79,few clouds,2023-01-19 02:16:47
153,Namibe,AO,-15.1961,12.1522,73.62,74,100,4.85,overcast clouds,2023-01-19 02:16:47
154,Soc Trang,VN,9.6033,105.98,77.13,71,100,4.9,overcast clouds,2023-01-19 02:16:48
155,Boguchany,RU,58.3814,97.4531,-39.98,100,100,2.19,overcast clouds,2023-01-19 02:16:48
156,Lampazos De Naranjo,MX,27.0167,-100.5167,64.56,34,7,5.7,clear sky,2023-01-19 02:16:48
157,Tiksi,RU,71.6872,128.8694,-29.63,100,93,0.58,overcast clouds,2023-01-19 02:16:49
158,Belle Fourche,US,44.6714,-103.8522,34.09,79,100,3.22,overcast clouds,2023-01-19 02:12:03
159,Srednekolymsk,RU,67.45,153.6833,-27.71,99,100,4.56,overcast clouds,2023-01-19 02:16:49
160,Gushikawa,JP,26.3544,127.8686,64.4,53,0,9.22,clear sky,2023-01-19 02:16:49
161,Pangnirtung,CA,66.1451,-65.7125,-17.1,63,4,6.24,clear sky,2023-01-19 02:16:50
162,Port Lincoln,AU,-34.7333,135.8667,63.72,53,90,15.23,overcast clouds,2023-01-19 02:16:50
163,Alice Springs,AU,-23.7,133.8833,88.21,40,7,10.36,clear sky,2023-01-19 02:16:50
164,Namatanai,PG,-3.6667,152.4333,82.98,75,95,6.78,light rain,2023-01-19 02:16:51
165,Kaeo,NZ,-35.1,173.7833,71.38,70,74,5.39,broken clouds,2023-01-19 02:16:51
166,Kefamenanu,ID,-9.4467,124.4781,82.31,66,100,3.33,overcast clouds,2023-01-19 02:16:51
167,High Rock,BS,26.6208,-78.2833,64.42,65,23,10.42,few clouds,2023-01-19 02:16:52
168,Adre,TD,13.4667,22.2,63.57,21,62,9.51,broken clouds,2023-01-19 02:16:52
